"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 08 19:00:42 GMT 2021","Mon Mar 08 19:00:49 GMT 2021","6954","tests.ui","test_cart","","","","test_confirmation[chromium]",""
"failed","Mon Mar 08 19:00:49 GMT 2021","Mon Mar 08 19:00:53 GMT 2021","3773","tests.ui","test_cart","","","","test_cart[chromium]",""
"passed","Mon Mar 08 19:00:54 GMT 2021","Mon Mar 08 19:00:58 GMT 2021","4060","tests.ui","test_login","","","","test_sign_in_error[chromium-aaaa@aa.aa-123qew]",""
"passed","Mon Mar 08 19:00:41 GMT 2021","Mon Mar 08 19:00:41 GMT 2021","101","tests.api","test_booking","","","","test_get_by_id",""
"passed","Mon Mar 08 19:00:41 GMT 2021","Mon Mar 08 19:00:41 GMT 2021","110","tests.api","test_booking","","","","test_delete_booking",""
"passed","Mon Mar 08 19:00:58 GMT 2021","Mon Mar 08 19:01:01 GMT 2021","3279","tests.ui","test_login","","","","test_email_error[chromium-aaaa@aa,aa-123qew]",""
"passed","Mon Mar 08 19:00:39 GMT 2021","Mon Mar 08 19:00:39 GMT 2021","46","tests.api","test_booking","","","","test_create_booking",""
"passed","Mon Mar 08 19:00:39 GMT 2021","Mon Mar 08 19:00:39 GMT 2021","71","tests.api","test_booking","","","","test_all_bookings",""
"passed","Mon Mar 08 19:01:10 GMT 2021","Mon Mar 08 19:01:13 GMT 2021","3341","tests.ui","test_login","","","","test_email_error[chromium-cccc@ccc,cc-dfdsf7876]",""
"passed","Mon Mar 08 19:00:39 GMT 2021","Mon Mar 08 19:00:41 GMT 2021","1931","tests.api","test_booking","","","","test_update_booking",""
"passed","Mon Mar 08 19:01:01 GMT 2021","Mon Mar 08 19:01:05 GMT 2021","3634","tests.ui","test_login","","","","test_sign_in_error[chromium-bbb@bb.bb-zxcv545]",""
"passed","Mon Mar 08 19:01:05 GMT 2021","Mon Mar 08 19:01:07 GMT 2021","2454","tests.ui","test_login","","","","test_email_error[chromium-bbb@bb,bb-zxcv545]",""
"passed","Mon Mar 08 19:01:07 GMT 2021","Mon Mar 08 19:01:10 GMT 2021","2509","tests.ui","test_login","","","","test_sign_in_error[chromium-cccc@ccc.cc-dfdsf7876]",""
"passed","Mon Mar 08 19:00:41 GMT 2021","Mon Mar 08 19:00:41 GMT 2021","109","tests.api","test_booking","","","","test_patch_booking",""
