"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 15 12:41:47 GMT 2021","Fri Jan 15 12:41:52 GMT 2021","4576","tests.ui","test_login","","","","test_sign_in_error[chromium-cccc@ccc.cc-dfdsf7876]",""
"passed","Fri Jan 15 12:41:17 GMT 2021","Fri Jan 15 12:41:17 GMT 2021","323","tests.api","test_booking","","","","test_create_booking",""
"passed","Fri Jan 15 12:41:17 GMT 2021","Fri Jan 15 12:41:17 GMT 2021","404","tests.api","test_booking","","","","test_all_bookings",""
"passed","Fri Jan 15 12:41:52 GMT 2021","Fri Jan 15 12:41:56 GMT 2021","3959","tests.ui","test_login","","","","test_email_error[chromium-cccc@ccc,cc-dfdsf7876]",""
"passed","Fri Jan 15 12:41:19 GMT 2021","Fri Jan 15 12:41:20 GMT 2021","681","tests.api","test_booking","","","","test_get_by_id",""
"passed","Fri Jan 15 12:41:22 GMT 2021","Fri Jan 15 12:41:26 GMT 2021","3368","tests.ui","test_cart","","","","test_confirmation[chromium]",""
"passed","Fri Jan 15 12:41:19 GMT 2021","Fri Jan 15 12:41:19 GMT 2021","735","tests.api","test_booking","","","","test_patch_booking",""
"failed","Fri Jan 15 12:41:26 GMT 2021","Fri Jan 15 12:41:29 GMT 2021","3203","tests.ui","test_cart","","","","test_cart[chromium]",""
"passed","Fri Jan 15 12:41:34 GMT 2021","Fri Jan 15 12:41:38 GMT 2021","4075","tests.ui","test_login","","","","test_email_error[chromium-aaaa@aa,aa-123qew]",""
"passed","Fri Jan 15 12:41:43 GMT 2021","Fri Jan 15 12:41:47 GMT 2021","4581","tests.ui","test_login","","","","test_email_error[chromium-bbb@bb,bb-zxcv545]",""
"passed","Fri Jan 15 12:41:38 GMT 2021","Fri Jan 15 12:41:43 GMT 2021","4584","tests.ui","test_login","","","","test_sign_in_error[chromium-bbb@bb.bb-zxcv545]",""
"passed","Fri Jan 15 12:41:30 GMT 2021","Fri Jan 15 12:41:34 GMT 2021","4231","tests.ui","test_login","","","","test_sign_in_error[chromium-aaaa@aa.aa-123qew]",""
"passed","Fri Jan 15 12:41:20 GMT 2021","Fri Jan 15 12:41:21 GMT 2021","661","tests.api","test_booking","","","","test_delete_booking",""
"passed","Fri Jan 15 12:41:18 GMT 2021","Fri Jan 15 12:41:18 GMT 2021","655","tests.api","test_booking","","","","test_update_booking",""
