"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 15 12:29:15 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","639","tests.api","test_booking","","","","test_delete_booking",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_login","","","","test_sign_in_error[chromium-cccc@ccc.cc-dfdsf7876]",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_login","","","","test_email_error[chromium-bbb@bb,bb-zxcv545]",""
"passed","Fri Jan 15 12:29:14 GMT 2021","Fri Jan 15 12:29:15 GMT 2021","630","tests.api","test_booking","","","","test_get_by_id",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_login","","","","test_email_error[chromium-aaaa@aa,aa-123qew]",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_login","","","","test_sign_in_error[chromium-bbb@bb.bb-zxcv545]",""
"broken","Fri Jan 15 12:29:17 GMT 2021","Fri Jan 15 12:29:17 GMT 2021","0","tests.ui","test_login","","","","test_email_error[chromium-cccc@ccc,cc-dfdsf7876]",""
"passed","Fri Jan 15 12:29:12 GMT 2021","Fri Jan 15 12:29:13 GMT 2021","644","tests.api","test_booking","","","","test_update_booking",""
"passed","Fri Jan 15 12:29:11 GMT 2021","Fri Jan 15 12:29:12 GMT 2021","331","tests.api","test_booking","","","","test_all_bookings",""
"passed","Fri Jan 15 12:29:12 GMT 2021","Fri Jan 15 12:29:12 GMT 2021","321","tests.api","test_booking","","","","test_create_booking",""
"passed","Fri Jan 15 12:29:13 GMT 2021","Fri Jan 15 12:29:14 GMT 2021","648","tests.api","test_booking","","","","test_patch_booking",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_cart","","","","test_cart[chromium]",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_cart","","","","test_confirmation[chromium]",""
"broken","Fri Jan 15 12:29:16 GMT 2021","Fri Jan 15 12:29:16 GMT 2021","0","tests.ui","test_login","","","","test_sign_in_error[chromium-aaaa@aa.aa-123qew]",""
