"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 04 15:45:56 GMT 2020","Fri Dec 04 15:45:57 GMT 2020","323","tests.api","test_booking","","","","test_delete_booking",""
"passed","Fri Dec 04 15:46:38 GMT 2020","Fri Dec 04 15:46:43 GMT 2020","4981","tests.ui","test_login","","","","test_email_error[chromium-cccc@ccc,cc-dfdsf7876]",""
"passed","Fri Dec 04 15:45:55 GMT 2020","Fri Dec 04 15:45:55 GMT 2020","340","tests.api","test_booking","","","","test_update_booking",""
"passed","Fri Dec 04 15:46:25 GMT 2020","Fri Dec 04 15:46:31 GMT 2020","5189","tests.ui","test_login","","","","test_email_error[chromium-bbb@bb,bb-zxcv545]",""
"passed","Fri Dec 04 15:45:55 GMT 2020","Fri Dec 04 15:45:56 GMT 2020","311","tests.api","test_booking","","","","test_patch_booking",""
"passed","Fri Dec 04 15:45:58 GMT 2020","Fri Dec 04 15:46:01 GMT 2020","2878","tests.ui","test_cart","","","","test_confirmation[chromium]",""
"passed","Fri Dec 04 15:46:11 GMT 2020","Fri Dec 04 15:46:20 GMT 2020","8557","tests.ui","test_login","","","","test_email_error[chromium-aaaa@aa,aa-123qew]",""
"passed","Fri Dec 04 15:46:31 GMT 2020","Fri Dec 04 15:46:38 GMT 2020","6891","tests.ui","test_login","","","","test_sign_in_error[chromium-cccc@ccc.cc-dfdsf7876]",""
"passed","Fri Dec 04 15:45:54 GMT 2020","Fri Dec 04 15:45:54 GMT 2020","398","tests.api","test_booking","","","","test_all_bookings",""
"passed","Fri Dec 04 15:45:54 GMT 2020","Fri Dec 04 15:45:54 GMT 2020","323","tests.api","test_booking","","","","test_create_booking",""
"passed","Fri Dec 04 15:45:56 GMT 2020","Fri Dec 04 15:45:56 GMT 2020","327","tests.api","test_booking","","","","test_get_by_id",""
"passed","Fri Dec 04 15:46:05 GMT 2020","Fri Dec 04 15:46:11 GMT 2020","5621","tests.ui","test_login","","","","test_sign_in_error[chromium-aaaa@aa.aa-123qew]",""
"passed","Fri Dec 04 15:46:20 GMT 2020","Fri Dec 04 15:46:25 GMT 2020","5808","tests.ui","test_login","","","","test_sign_in_error[chromium-bbb@bb.bb-zxcv545]",""
"passed","Fri Dec 04 15:46:01 GMT 2020","Fri Dec 04 15:46:05 GMT 2020","4101","tests.ui","test_cart","","","","test_cart[chromium]",""
